"profile_label","time_set","nivel_educ","indicator","mean_times","se_times"
"Profile_4","artesania",2,"Cantidad anual",3.55646479822554,0.201555244718665
"Profile_4","artesania",3,"Cantidad anual",4.50037939204813,0.43894604965561
"Profile_4","arte",1,"Cantidad anual",-1.39893569457147,2.71003263357269
"Profile_4","arte",2,"Cantidad anual",-0.82087494038836,1.79328223797853
"Profile_4","arte",3,"Cantidad anual",1.90710478052741,0.473775692127471
"Profile_4","cine",1,"Cantidad anual",2.16248907993248,0.403611654289497
"Profile_4","cine",2,"Cantidad anual",2.01164439211725,0.184766715281252
"Profile_4","cine",3,"Cantidad anual",3.98227304043797,1.12552983780008
"Profile_4","danza",1,"Cantidad anual",2.18881481940069,0.314128173555562
"Profile_4","danza",2,"Cantidad anual",1.72231576658924,0.221858922598675
"Profile_4","danza",3,"Cantidad anual",1.8575950331928,0.170900119846631
"Profile_4","musica",1,"Cantidad anual",2.46301060198658,0.511122870547396
"Profile_4","musica",2,"Cantidad anual",1.99716869583771,0.177875733663385
"Profile_4","musica",3,"Cantidad anual",2.9683255549645,0.492430965845031
"Profile_4","ppoo",1,"Cantidad anual",1.58240867885796,0.221569916465942
"Profile_4","ppoo",2,"Cantidad anual",1.45455199266669,0.218604744954062
"Profile_4","ppoo",3,"Cantidad anual",1.87567517689933,0.314555235809523
"Profile_4","religion",1,"Cantidad anual",15.1971178431758,6.48110846802905
"Profile_4","religion",2,"Cantidad anual",8.04648171277183,1.35547295116655
"Profile_4","religion",3,"Cantidad anual",7.18587118673802,1.25096191695308
"Profile_4","teatro",1,"Cantidad anual",2.20062305889795,0.476313036282196
"Profile_4","teatro",2,"Cantidad anual",1.70890118784583,0.130068766083494
"Profile_4","teatro",3,"Cantidad anual",2.8983950960694,0.332340975241824
"Profile_5","artesania",1,"Cantidad anual",3.3390286775356,0.866005872460031
"Profile_5","artesania",2,"Cantidad anual",3.22523934767582,0.235857433747721
"Profile_5","artesania",3,"Cantidad anual",5.23010920987389,0.452662391379414
"Profile_5","arte",1,"Cantidad anual",2.91671210998641,1.04947621568166
"Profile_5","arte",2,"Cantidad anual",-1.35968084290813,2.46187127510795
"Profile_5","arte",3,"Cantidad anual",1.4529042544708,0.692686573128028
"Profile_5","cine",1,"Cantidad anual",2.46203706428348,0.445719496466911
"Profile_5","cine",2,"Cantidad anual",3.62908941558123,0.484699584039795
"Profile_5","cine",3,"Cantidad anual",4.60125150458241,0.284245989767798
"Profile_5","danza",1,"Cantidad anual",1.36726958830297,0.184691168330169
"Profile_5","danza",2,"Cantidad anual",2.05309213280578,0.249299897119864
"Profile_5","danza",3,"Cantidad anual",2.97907349938704,0.449517020969885
"Profile_5","musica",1,"Cantidad anual",1.79857353572666,0.203875176439927
"Profile_5","musica",2,"Cantidad anual",2.66182000318916,0.253077554256665
"Profile_5","musica",3,"Cantidad anual",4.0356000791954,0.362377529234219
"Profile_5","ppoo",1,"Cantidad anual",1.73464789712971,0.251944348164365
"Profile_5","ppoo",2,"Cantidad anual",1.42153002825984,0.127429505824978
"Profile_5","ppoo",3,"Cantidad anual",1.5572825853379,0.175905561800821
"Profile_5","religion",1,"Cantidad anual",15.2401334870742,10.6537791230685
"Profile_5","religion",2,"Cantidad anual",3.89968155501367,0.713100011662641
"Profile_5","religion",3,"Cantidad anual",3.12443105869719,0.440706191043576
"Profile_5","teatro",1,"Cantidad anual",1.47879338507615,0.282237122510458
"Profile_5","teatro",2,"Cantidad anual",2.44255815153523,0.566810083179241
"Profile_5","teatro",3,"Cantidad anual",2.98702890708804,0.238056727987162
"Profile_6","artesania",1,"Cantidad anual",1.72192653770636,0.143810305581466
"Profile_6","artesania",2,"Cantidad anual",3.85425948523961,0.697920587639485
"Profile_6","artesania",3,"Cantidad anual",3.97171641776566,0.253925043118641
"Profile_6","arte",1,"Cantidad anual",0,0
"Profile_6","arte",2,"Cantidad anual",1.48189789933879,0.297802000428608
"Profile_6","arte",3,"Cantidad anual",0.479866136484377,1.14769548665372
"Profile_6","cine",1,"Cantidad anual",1.64464540997071,0.617815539739966
"Profile_6","cine",2,"Cantidad anual",3.13432890986347,0.411029194044868
"Profile_6","cine",3,"Cantidad anual",4.16218807849908,0.276268113554349
"Profile_6","danza",1,"Cantidad anual",2,0
"Profile_6","danza",2,"Cantidad anual",2.06073775043466,0.358862005399419
"Profile_6","danza",3,"Cantidad anual",2.49957281684813,0.342523822291219
"Profile_6","musica",1,"Cantidad anual",1,0
"Profile_6","musica",2,"Cantidad anual",2.61856847572105,0.326174664570786
"Profile_6","musica",3,"Cantidad anual",3.17228403523322,0.274384291797193
"Profile_6","ppoo",1,"Cantidad anual",0,0
"Profile_6","ppoo",2,"Cantidad anual",1.98920241144064,0.611732550131426
"Profile_6","ppoo",3,"Cantidad anual",1.33046148911165,0.0982372966934494
"Profile_6","religion",1,"Cantidad anual",5.50723253743804,4.44959249723596
"Profile_6","religion",2,"Cantidad anual",3.16874508101969,0.941534319266971
"Profile_6","religion",3,"Cantidad anual",9.64699788745818,3.60829939824862
"Profile_6","teatro",1,"Cantidad anual",0,0
"Profile_6","teatro",2,"Cantidad anual",1.80335408343006,0.329764257348339
"Profile_6","teatro",3,"Cantidad anual",2.41149219554832,0.226417356208108
