"profile_label","time_set","sexo","indicator","mean_times","se_times"
"Profile_5","ppoo",1,"Cantidad anual",1.44624321673668,0.122569629008338
"Profile_5","ppoo",2,"Cantidad anual",1.6423832568804,0.238670192296822
"Profile_5","religion",1,"Cantidad anual",5.35553815602729,1.8045374280391
"Profile_5","religion",2,"Cantidad anual",3.23322685911358,0.490655716686965
"Profile_5","teatro",1,"Cantidad anual",2.62246470103637,0.212075097190734
"Profile_5","teatro",2,"Cantidad anual",3.17033808939612,0.365886432400847
"Profile_6","artesania",1,"Cantidad anual",3.98154163209158,0.393821403282293
"Profile_6","artesania",2,"Cantidad anual",3.88876068644585,0.277966108019349
"Profile_6","arte",1,"Cantidad anual",2.08004485719949,0.221592153453209
"Profile_6","arte",2,"Cantidad anual",-0.63553075516654,1.8587017533016
"Profile_6","cine",1,"Cantidad anual",4.11914335957605,0.366745321895596
"Profile_6","cine",2,"Cantidad anual",3.84777490638681,0.291307536833571
"Profile_6","danza",1,"Cantidad anual",2.21647981049848,0.443618591823531
"Profile_6","danza",2,"Cantidad anual",2.62356694315971,0.410263578150026
"Profile_6","musica",1,"Cantidad anual",2.8896356613193,0.35843897385669
"Profile_6","musica",2,"Cantidad anual",3.25282153133741,0.309434068253864
"Profile_6","ppoo",1,"Cantidad anual",1.03953448026728,0.0400817437865839
"Profile_6","ppoo",2,"Cantidad anual",1.54686555041853,0.154279501119397
"Profile_6","religion",1,"Cantidad anual",11.6815405673362,7.08178346040776
"Profile_6","religion",2,"Cantidad anual",6.49055004880781,2.13215411964284
"Profile_6","teatro",1,"Cantidad anual",2.3885744211123,0.357498856713634
"Profile_6","teatro",2,"Cantidad anual",2.4053500602783,0.273859784975428
