"profile_label","time_set","NSE","day_type","mean_hours","se_hours"
"Profile_2","t_tnr",1,"Día de fin de semana",4.10538243346645,0.139414528390771
"Profile_2","t_tnr",2,"Día de fin de semana",4.2812555830395,0.11915489748451
"Profile_2","t_tnr",3,"Día de fin de semana",4.80469242276514,0.369151641319951
"Profile_2","t_to",1,"Día de semana",7.67605685894582,0.203012441766006
"Profile_2","t_to",2,"Día de semana",8.43463127662658,0.136962145167927
"Profile_2","t_to",3,"Día de semana",9.16499618664948,0.756985081303446
"Profile_2","t_to",1,"Día de fin de semana",7.06974944567692,0.402443176199042
"Profile_2","t_to",2,"Día de fin de semana",7.82149204753525,0.331887078320312
"Profile_2","t_to",3,"Día de fin de semana",8.32735270938015,0.810395274611766
"Profile_2","t_tvaoh",1,"Día de semana",4.68535356125614,0.704784907973824
"Profile_2","t_tvaoh",2,"Día de semana",3.88617003115789,0.369843335435062
"Profile_2","t_tvaoh",3,"Día de semana",7.12906951799716,2.49786464366109
"Profile_2","t_tvaoh",1,"Día de fin de semana",4.54325219238569,0.493959111198534
"Profile_2","t_tvaoh",2,"Día de fin de semana",4.1263181783195,0.3730147499976
"Profile_2","t_tvaoh",3,"Día de fin de semana",2.68343295439582,0.46332236146734
"Profile_3","t_ap",1,"Día de semana",15.851837574901,0.191284688536877
"Profile_3","t_ap",2,"Día de semana",15.4838974678618,0.186497123727407
"Profile_3","t_ap",3,"Día de semana",15.0209085308946,0.251472998271808
"Profile_3","t_ap",1,"Día de fin de semana",16.8862210242553,0.219787769352033
"Profile_3","t_ap",2,"Día de fin de semana",16.8096006762508,0.179461465579647
"Profile_3","t_ap",3,"Día de fin de semana",17.7183521931158,0.320629196635135
"Profile_3","t_cgt",1,"Día de semana",8.75448503739786,0.206067192700961
"Profile_3","t_cgt",2,"Día de semana",9.77343690714621,0.223903370451043
"Profile_3","t_cgt",3,"Día de semana",11.1432629483308,0.279583765476021
"Profile_3","t_cgt",1,"Día de fin de semana",6.2954038780925,0.181380403685519
"Profile_3","t_cgt",2,"Día de fin de semana",7.26731261869419,0.196371869592732
"Profile_3","t_cgt",3,"Día de fin de semana",7.81913143175256,0.272642528429391
"Profile_3","t_tcnr",1,"Día de semana",2.64353566982986,0.0858294680584818
"Profile_3","t_tcnr",2,"Día de semana",3.11968341424899,0.0985210394443339
"Profile_3","t_tcnr",3,"Día de semana",3.49787743353302,0.129093014929738
"Profile_3","t_tcnr",1,"Día de fin de semana",2.70001311108461,0.0968361145810728
"Profile_3","t_tcnr",2,"Día de fin de semana",3.09765196532736,0.0992888977748299
"Profile_3","t_tcnr",3,"Día de fin de semana",3.96376070386789,0.20046258133799
"Profile_3","t_tdnr",1,"Día de semana",2.9693397251294,0.0911159505322861
"Profile_3","t_tdnr",2,"Día de semana",3.06999203262028,0.0925001688937485
"Profile_3","t_tdnr",3,"Día de semana",2.87271685918108,0.113244595220352
"Profile_3","t_tdnr",1,"Día de fin de semana",2.83129093357549,0.0936199573032956
"Profile_3","t_tdnr",2,"Día de fin de semana",3.28656944720025,0.0959666166741065
"Profile_3","t_tdnr",3,"Día de fin de semana",3.22946997617009,0.147892008167036
"Profile_3","t_tnr",1,"Día de semana",5.25025802473924,0.13025901970018
"Profile_3","t_tnr",2,"Día de semana",5.77831845398705,0.16701492070056
"Profile_3","t_tnr",3,"Día de semana",5.98795920187416,0.189046370595848
"Profile_3","t_tnr",1,"Día de fin de semana",4.86283685412947,0.152993741446885
"Profile_3","t_tnr",2,"Día de fin de semana",5.88413116008854,0.151927445209776
"Profile_3","t_tnr",3,"Día de fin de semana",6.56004918093174,0.245084318452077
"Profile_3","t_to",1,"Día de semana",8.65200768642136,0.198329695437597
"Profile_3","t_to",2,"Día de semana",8.68717591780579,0.155135981999745
"Profile_3","t_to",3,"Día de semana",8.67476835077801,0.39859225835575
"Profile_3","t_to",1,"Día de fin de semana",7.44399312553025,0.377446539044588
"Profile_3","t_to",2,"Día de fin de semana",7.81917253741508,0.559520853402684
"Profile_3","t_to",3,"Día de fin de semana",6.30652549637562,0.544893359474059
"Profile_3","t_tvaoh",1,"Día de semana",2.62698233837549,0.480586908494378
"Profile_3","t_tvaoh",2,"Día de semana",5.58391956684686,1.84311003333137
"Profile_3","t_tvaoh",3,"Día de semana",2.68954197584062,0.551422760042686
"Profile_3","t_tvaoh",1,"Día de fin de semana",3.21190949347397,0.517666496457891
"Profile_3","t_tvaoh",2,"Día de fin de semana",3.98200190726962,0.464571258555582
"Profile_3","t_tvaoh",3,"Día de fin de semana",2.62522645071055,0.622466397577121
"Profile_4","t_ap",1,"Día de semana",15.1112077554345,0.14183784668721
"Profile_4","t_ap",2,"Día de semana",15.3128135877554,0.129527164462982
"Profile_4","t_ap",3,"Día de semana",16.3638148311132,0.245246817374423
"Profile_4","t_ap",1,"Día de fin de semana",16.0113209151786,0.159359510241356
"Profile_4","t_ap",2,"Día de fin de semana",16.3032769031987,0.131173391167336
"Profile_4","t_ap",3,"Día de fin de semana",17.9467167924224,0.274926887429233
"Profile_4","t_cgt",1,"Día de semana",5.14536966929198,0.147071357054189
"Profile_4","t_cgt",2,"Día de semana",5.57817187670998,0.118245364459865
"Profile_4","t_cgt",3,"Día de semana",5.65867558096848,0.22736379185436
"Profile_4","t_cgt",1,"Día de fin de semana",3.59296269694124,0.120043171889234
"Profile_4","t_cgt",2,"Día de fin de semana",3.95347988026553,0.0954611477510409
"Profile_4","t_cgt",3,"Día de fin de semana",3.65270631275206,0.17541776649276
"Profile_4","t_tcnr",1,"Día de semana",1.25195645961992,0.130930094257917
"Profile_4","t_tcnr",2,"Día de semana",1.40126894779422,0.134184189213688
"Profile_4","t_tcnr",3,"Día de semana",1.22883039203746,0.157955926778505
"Profile_4","t_tcnr",1,"Día de fin de semana",1.09913576891558,0.133833076918369
"Profile_4","t_tcnr",2,"Día de fin de semana",1.04441778307871,0.10133742516454
"Profile_4","t_tcnr",3,"Día de fin de semana",0.986426213735458,0.173214166714757
"Profile_4","t_tdnr",1,"Día de semana",3.29752805632412,0.0957163652557456
"Profile_4","t_tdnr",2,"Día de semana",3.54250540811266,0.0677533194045531
"Profile_4","t_tdnr",3,"Día de semana",3.56769264347046,0.140750076622083
"Profile_4","t_tdnr",1,"Día de fin de semana",2.78420415813741,0.0847005928309754
"Profile_4","t_tdnr",2,"Día de fin de semana",3.06001195380718,0.0646410115442532
"Profile_4","t_tdnr",3,"Día de fin de semana",2.9108824061773,0.118120831426681
