"profile_label","time_set","indicator","mean_times","se_times"
"Profile_1","artesania","Cantidad anual",4.11254678766817,0.143412742097407
"Profile_1","arte","Cantidad anual",1.56197640422535,0.370826750115879
"Profile_1","cine","Cantidad anual",4.085918603298,0.278267601801029
"Profile_1","danza","Cantidad anual",2.37328094371805,0.199379946314126
"Profile_1","musica","Cantidad anual",2.86240335174486,0.169446351021119
"Profile_1","ppoo","Cantidad anual",1.5212520576175,0.0987450046362819
"Profile_1","religion","Cantidad anual",7.57969806157401,1.15466964102863
"Profile_1","teatro","Cantidad anual",2.27924096465795,0.175658131594178
"Profile_2","artesania","Cantidad anual",4.33623080484425,0.196049024483771
"Profile_2","arte","Cantidad anual",1.4530051359607,0.746731613817771
"Profile_2","cine","Cantidad anual",3.95816515145964,0.264091837910548
"Profile_2","danza","Cantidad anual",2.15806803981348,0.118330044426959
"Profile_2","musica","Cantidad anual",2.87912756491509,0.204393205550961
"Profile_2","ppoo","Cantidad anual",1.64812359134809,0.161295678306328
"Profile_2","religion","Cantidad anual",7.5431067281621,1.60448368381404
"Profile_2","teatro","Cantidad anual",1.99549658767504,0.123874022441855
"Profile_3","artesania","Cantidad anual",4.0263013604799,0.211637665047984
"Profile_3","arte","Cantidad anual",1.33283405322023,0.691578377617022
"Profile_3","cine","Cantidad anual",3.34832240621852,0.153412644993514
"Profile_3","danza","Cantidad anual",3.20153216618075,0.39121999075907
"Profile_3","musica","Cantidad anual",3.03823054804552,0.681095148411611
"Profile_3","ppoo","Cantidad anual",1.55226938199569,0.084998882705639
"Profile_3","religion","Cantidad anual",6.41310990426488,1.13418513605757
"Profile_3","teatro","Cantidad anual",1.86100357791774,0.12176838438248
"Profile_4","artesania","Cantidad anual",3.89977298666148,0.187701734056434
"Profile_4","arte","Cantidad anual",0.683244092657442,0.690636245393699
"Profile_4","cine","Cantidad anual",2.9992002707394,0.56443637870631
"Profile_4","danza","Cantidad anual",1.87025861588454,0.128414140905102
"Profile_4","musica","Cantidad anual",2.49975715865774,0.245694515550204
"Profile_4","ppoo","Cantidad anual",1.66108776614733,0.161019170611148
"Profile_4","religion","Cantidad anual",9.85204055994569,2.11010906066406
"Profile_4","teatro","Cantidad anual",2.391434337638,0.209145741965354
"Profile_5","artesania","Cantidad anual",4.57595513423629,0.320757854997174
"Profile_5","arte","Cantidad anual",1.02378029607306,0.639341748411959
"Profile_5","cine","Cantidad anual",4.29701738500346,0.238050132304546
"Profile_5","danza","Cantidad anual",2.71467463418279,0.342229053480134
"Profile_5","musica","Cantidad anual",3.653918672278,0.278606978328379
"Profile_5","ppoo","Cantidad anual",1.53487132674252,0.127955065357323
"Profile_5","religion","Cantidad anual",4.30459921968539,0.950476398947499
"Profile_5","teatro","Cantidad anual",2.8956304159994,0.217395967154805
"Profile_6","artesania","Cantidad anual",3.93401927707295,0.236904905876959
"Profile_6","arte","Cantidad anual",0.571591451875035,1.04280357428688
"Profile_6","cine","Cantidad anual",3.98068345542597,0.238861867145958
"Profile_6","danza","Cantidad anual",2.4395571666198,0.299448781313475
"Profile_6","musica","Cantidad anual",3.07206177226593,0.235201971200164
"Profile_6","ppoo","Cantidad anual",1.35467180242313,0.100035102835991
"Profile_6","religion","Cantidad anual",8.58796167809109,3.04103578770853
"Profile_6","teatro","Cantidad anual",2.39763057902343,0.22126730142703
