"profile_label","time_set","grupos_etarios","indicator","mean_times","se_times"
"Profile_4","cine",3,"Cantidad anual",2.9992002707394,0.56443637870631
"Profile_4","danza",3,"Cantidad anual",1.87025861588454,0.128414140905102
"Profile_4","musica",3,"Cantidad anual",2.49975715865774,0.245694515550204
"Profile_4","ppoo",3,"Cantidad anual",1.66108776614733,0.161019170611148
"Profile_4","religion",3,"Cantidad anual",9.85204055994569,2.11010906066406
"Profile_4","teatro",3,"Cantidad anual",2.391434337638,0.209145741965354
"Profile_5","artesania",2,"Cantidad anual",4.57595513423629,0.320757854997174
"Profile_5","arte",2,"Cantidad anual",1.02378029607306,0.639341748411959
"Profile_5","cine",2,"Cantidad anual",4.29701738500346,0.238050132304546
"Profile_5","danza",2,"Cantidad anual",2.71467463418279,0.342229053480134
"Profile_5","musica",2,"Cantidad anual",3.653918672278,0.278606978328379
"Profile_5","ppoo",2,"Cantidad anual",1.53487132674252,0.127955065357323
"Profile_5","religion",2,"Cantidad anual",4.30459921968539,0.950476398947499
"Profile_5","teatro",2,"Cantidad anual",2.8956304159994,0.217395967154805
"Profile_6","artesania",1,"Cantidad anual",3.93402617389314,0.328121047636991
"Profile_6","artesania",2,"Cantidad anual",3.92834235673743,0.336566624635036
"Profile_6","artesania",3,"Cantidad anual",5,0
"Profile_6","arte",1,"Cantidad anual",-1.34796179261119,3.09402581922076
"Profile_6","arte",2,"Cantidad anual",1.47935235494853,0.428012940277454
"Profile_6","arte",3,"Cantidad anual",1,0
"Profile_6","cine",1,"Cantidad anual",3.98261085082405,0.319303642192689
"Profile_6","cine",2,"Cantidad anual",3.99428765313134,0.322952946280672
"Profile_6","cine",3,"Cantidad anual",1,0
"Profile_6","danza",1,"Cantidad anual",1.88609300167408,0.231342980856896
"Profile_6","danza",2,"Cantidad anual",2.73260740472269,0.430745562963267
"Profile_6","danza",3,"Cantidad anual",1,0
"Profile_6","musica",1,"Cantidad anual",2.57205839341414,0.238579292730795
"Profile_6","musica",2,"Cantidad anual",3.38056824992683,0.354132018992906
