"profile_label","time_set","NSE","indicator","mean_times","se_times"
"Profile_4","artesania",2,"Cantidad anual",3.77564580445769,0.223868049981462
"Profile_4","artesania",3,"Cantidad anual",4.53417584183144,0.577009055594026
"Profile_4","arte",1,"Cantidad anual",0.355442833399313,1.1442693029141
"Profile_4","arte",2,"Cantidad anual",-0.0349298996566897,1.33129129596772
"Profile_4","arte",3,"Cantidad anual",2.10168231785048,0.277483979454798
"Profile_4","cine",1,"Cantidad anual",1.93330239592075,0.23904447561301
"Profile_4","cine",2,"Cantidad anual",3.39129702259634,1.15609639529527
"Profile_4","cine",3,"Cantidad anual",3.59600106137948,0.602157674981774
"Profile_4","danza",1,"Cantidad anual",1.87931160630729,0.188620078273688
"Profile_4","danza",2,"Cantidad anual",1.82513293374452,0.225853717151276
"Profile_4","danza",3,"Cantidad anual",2.00721796282054,0.273535808736403
"Profile_4","musica",1,"Cantidad anual",2.71142529748569,0.556617662643199
"Profile_4","musica",2,"Cantidad anual",2.04614515771749,0.170601655868372
"Profile_4","musica",3,"Cantidad anual",3.10683918756655,0.572159689967297
"Profile_4","ppoo",1,"Cantidad anual",1.40576041236107,0.171027240777673
"Profile_4","ppoo",2,"Cantidad anual",1.67125868720124,0.218542222952876
"Profile_4","ppoo",3,"Cantidad anual",2.00522172530388,0.50593941650022
"Profile_4","religion",1,"Cantidad anual",12.0566272087812,4.27186884822307
"Profile_4","religion",2,"Cantidad anual",7.47687853292804,1.16499690214848
"Profile_4","religion",3,"Cantidad anual",9.77763776677301,2.63235730451899
"Profile_4","teatro",1,"Cantidad anual",1.90726026138444,0.284522456950698
"Profile_4","teatro",2,"Cantidad anual",1.97970068174899,0.146323640003212
"Profile_4","teatro",3,"Cantidad anual",3.48011951400631,0.520978433573749
"Profile_5","artesania",1,"Cantidad anual",3.99190037279445,0.576483235285282
"Profile_5","artesania",2,"Cantidad anual",4.48949491514738,0.616119355194283
"Profile_5","artesania",3,"Cantidad anual",4.90354365781329,0.362667441797938
"Profile_5","arte",1,"Cantidad anual",2.74677462665092,0.862670278257777
"Profile_5","arte",2,"Cantidad anual",-0.817322550035094,1.86781952907662
"Profile_5","arte",3,"Cantidad anual",1.85335676948415,0.575793362062782
"Profile_5","cine",1,"Cantidad anual",2.07834198551115,0.221691895947048
"Profile_5","cine",2,"Cantidad anual",4.40900196203249,0.433271523457922
"Profile_5","cine",3,"Cantidad anual",4.7520079604677,0.337200877730133
"Profile_5","danza",1,"Cantidad anual",2.04456043100246,0.516768266171711
"Profile_5","danza",2,"Cantidad anual",3.90326803872571,0.935959506941736
"Profile_5","danza",3,"Cantidad anual",2.07422181217641,0.153650691909316
